5000 21840
3128 1 -999
3709 2 -957
3066 3 734
576 4 -872
3696 5 220
1722 6 269
1956 7 -535
2910 8 -157
4672 9 646
3722 10 -665
2700 11 -429
115 12 302
23 13 897
1040 14 174
4223 15 233
4347 16 809
4194 17 -425
4239 18 -798
4345 19 -743
2907 20 -975
3094 21 -735
4828 22 201
1768 23 300
2250 24 941
1664 25 679
598 26 585
1088 27 859
1775 28 -782
2129 29 -139
3277 30 890
2258 31 379
4884 32 599
666 33 75
4900 34 89
2068 35 590
579 36 -520
4811 37 -351
3989 38 878
4111 39 796
1780 40 189
1929 41 775
1746 42 986
13 43 -802
3421 44 102
845 45 552
1726 46 -545
4905 47 -394
1737 48 -912
2308 49 -19
1203 50 521
3751 51 49
3714 52 -532
358 53 -437
4227 54 602
3387 55 -783
1106 56 848
2043 57 -444
2720 58 770
107 59 -337
2677 60 170
120 61 550
1209 62 -342
327 63 -473
3061 64 -764
2705 65 88
1786 66 460
1161 67 691
849 68 -61
4646 69 168
2534 70 -923
4589 71 622
2145 72 -392
4357 73 -323
3250 74 763
1833 75 67
3458 76 -481
3217 77 140
281 78 -990
932 79 3
4366 80 -479
657 81 568
26 82 702
535 83 837
3323 84 -540
5 85 855
3162 86 514
4824 87 -611
694 88 532
1373 89 -479
3671 90 582
4551 91 -841
1044 92 -176
4292 93 880
3915 94 -999
4033 95 623
2058 96 441
2617 97 -275
4013 98 265
3964 99 -548
1727 100 -138
408 101 334
4576 102 335
4402 103 728
1033 104 -132
796 105 43
3512 106 795
3633 107 695
43 108 920
132 109 -983
415 110 -614
2767 111 -831
1994 112 725
469 113 464
2978 114 -553
3264 115 611
2569 116 555
3130 117 122
2988 118 704
1174 119 690
4206 120 -553
3162 121 -415
2670 122 948
3079 123 59
2223 124 -792
1845 125 -493
1048 126 -626
1722 127 -849
3293 128 4
2853 129 -804
2297 130 159
1136 131 484
3375 132 540
3774 133 -477
839 134 938
2768 135 581
2554 136 174
1552 137 -299
2974 138 -912
1883 139 466
1756 140 393
1472 141 306
1342 142 -998
4204 143 -948
4318 144 29
1396 145 -362
4942 146 313
3594 147 534
2104 148 147
1541 149 500
924 150 303
3162 151 463
281 152 391
3869 153 697
1984 154 86
2173 155 -475
4436 156 -499
2912 157 913
3503 158 633
2910 159 -49
991 160 -152
4055 161 393
1781 162 83
498 163 13
329 164 -44
1310 165 -831
3491 166 -137
1583 167 408
4821 168 139
1352 169 -972
1781 170 490
2930 171 294
2566 172 -4
2882 173 -167
1295 174 -242
1575 175 -884
2199 176 -545
4194 177 -343
2289 178 -461
1663 179 103
49 180 944
91 181 347
3273 182 -477
815 183 -135
1933 184 -829
4821 185 371
3635 186 -238
971 187 -443
2840 188 808
4465 189 125
2740 190 -235
1475 191 -321
4564 192 844
2007 193 981
1387 194 356
2090 195 -594
3162 196 -170
1890 197 792
3192 198 841
1723 199 -447
1275 200 664
3965 201 998
1603 202 951
482 203 278
4204 204 274
2283 205 11
514 206 158
3808 207 694
2197 208 -113
2434 209 -500
3017 210 96
93 211 861
3705 212 -921
4868 213 -701
330 214 26
1566 215 301
622 216 -229
4269 217 -159
4797 218 0
4877 219 -77
3885 220 -56
2198 221 -221
1698 222 1
1939 223 -48
3307 224 16
4557 225 24
2814 226 585
1055 227 -902
4840 228 -940
4598 229 -382
680 230 678
4384 231 354
822 232 -580
1643 233 530
468 234 331
2886 235 -367
3132 236 -653
2698 237 -290
1817 238 6
4803 239 98
1268 240 -613
1272 241 929
843 242 -69
3562 243 -998
2996 244 796
4506 245 644
598 246 -276
195 247 544
3264 248 348
4149 249 336
1696 250 275
3088 251 -396
1447 252 -672
917 253 232
2108 254 -684
629 255 -820
3551 256 131
846 257 -372
4119 258 -181
4874 259 -843
4903 260 -952
4245 261 -728
2621 262 -642
2287 263 535
2676 264 -347
3841 265 941
2502 266 -532
364 267 -274
3937 268 -530
3362 269 -598
3169 270 -431
2110 271 554
3837 272 -391
2006 273 907
2499 274 913
2802 275 597
3307 276 726
875 277 -102
450 278 -549
3489 279 -671
4963 280 125
3934 281 -935
685 282 419
4149 283 58
4459 284 983
3847 285 265
713 286 -711
4491 287 -80
4582 288 -158
1046 289 42
1503 290 -351
838 291 281
4366 292 816
3003 293 -749
1264 294 -688
209 295 -640
3293 296 -124
1195 297 740
292 298 231
1082 299 -999
122 300 -45
3602 301 537
4226 302 -526
930 303 -594
3400 304 714
2106 305 954
3469 306 -325
272 307 -951
1289 308 469
4445 309 191
3448 310 671
220 311 -324
2822 312 21
3217 313 -402
4527 314 395
2492 315 580
3249 316 471
509 317 714
43 318 923
2252 319 -415
3244 320 -248
3449 321 -705
1400 322 825
1775 323 -318
1521 324 196
4058 325 -590
4936 326 -70
716 327 -444
992 328 896
3040 329 537
2463 330 158
1600 331 63
2012 332 846
1147 333 36
357 334 460
2886 335 -865
1956 336 -854
2854 337 -170
2236 338 -186
1288 339 288
1106 340 -965
3929 341 -883
2978 342 -843
2264 343 -633
4835 344 -93
1788 345 752
2274 346 -358
4465 347 -727
152 348 -346
2833 349 -400
3062 350 425
3774 351 -655
2263 352 -564
3715 353 -395
1206 354 -737
3748 355 -345
2958 356 826
1272 357 -320
1797 358 -720
1079 359 868
3162 360 -116
4132 361 -469
1069 362 -809
857 363 -219
1041 364 337
4239 365 -720
3446 366 503
2006 367 975
4088 368 663
1395 369 841
4281 370 246
2423 371 312
545 372 393
2653 373 -798
4851 374 131
954 375 -169
1923 376 680
3404 377 -612
1201 378 550
31 379 292
4508 380 -767
436 381 -634
223 382 441
269 383 -822
382 384 831
3396 385 -29
4986 386 575
3018 387 -898
3605 388 171
777 389 -519
1647 390 957
1254 391 504
1810 392 -335
3951 393 -821
4799 394 -643
2514 395 -420
1295 396 559
4829 397 662
573 398 483
1788 399 -391
2291 400 -30
3989 401 825
1600 402 -325
1021 403 855
837 404 -549
3158 405 -664
2466 406 780
1916 407 925
781 408 617
4731 409 -699
3693 410 136
202 411 559
4029 412 626
2499 413 100
702 414 -313
1660 415 -492
2475 416 48
1179 417 70
513 418 -496
415 419 -709
2292 420 882
855 421 65
4778 422 124
355 423 -911
4491 424 -244
1320 425 849
1179 426 -599
2910 427 -513
2604 428 -702
1078 429 28
3503 430 877
752 431 724
2975 432 983
2071 433 -143
4304 434 -257
3731 435 -860
3264 436 418
469 437 158
2264 438 -819
3736 439 -301
3788 440 19
2970 441 -346
2197 442 -553
4227 443 -277
1786 444 -180
1037 445 529
3262 446 -539
1865 447 926
1988 448 25
77 449 999
1302 450 460
4419 451 896
3593 452 -262
2217 453 908
2006 454 483
2763 455 845
3574 456 -123
1797 457 -228
1462 458 281
3384 459 730
2376 460 -313
1080 461 159
3432 462 275
375 463 613
2863 464 970
763 465 -653
4948 466 178
3823 467 -234
3042 468 163
4645 469 -867
1797 470 -548
2179 471 320
4167 472 -954
1515 473 -789
1780 474 -551
1123 475 -194
151 476 -603
1812 477 -809
1447 478 60
2928 479 824
485 480 -52
2776 481 389
3440 482 323
285 483 -695
669 484 -49
1065 485 781
3724 486 -968
3224 487 917
4480 488 -768
4911 489 -804
779 490 -801
415 491 -625
1708 492 -907
1015 493 439
2491 494 163
2848 495 24
2026 496 -81
13 497 -947
810 498 -299
4341 499 -795
4410 500 -121
386 501 509
2249 502 -771
1069 503 848
126 504 -385
2615 505 566
1863 506 -427
2053 507 776
109 508 -557
985 509 507
4897 510 -4
3100 511 956
2361 512 981
3774 513 -593
490 514 887
829 515 646
770 516 -111
2185 517 813
3838 518 289
3252 519 295
69 520 -947
1917 521 -910
2156 522 -479
3436 523 -728
3016 524 -478
3308 525 424
4320 526 892
1579 527 -665
955 528 -930
2476 529 -541
4355 530 617
3959 531 414
1466 532 77
4380 533 -29
2538 534 -944
3553 535 -167
4380 536 -895
4045 537 -391
4739 538 71
3636 539 -281
1967 540 104
3617 541 166
205 542 -310
999 543 694
1394 544 -134
3549 545 548
197 546 806
1607 547 289
415 548 -586
3846 549 347
1744 550 -951
3066 551 159
4404 552 -876
4685 553 976
1988 554 -808
3720 555 -993
318 556 -905
3120 557 -664
2 558 252
2329 559 -741
3822 560 818
2844 561 595
2875 562 20
3821 563 43
846 564 272
3772 565 -752
2341 566 151
4554 567 422
2518 568 512
1148 569 591
436 570 -572
2667 571 -806
2642 572 268
401 573 -887
4313 574 -681
2734 575 -919
4554 576 -172
3246 577 -382
1405 578 -860
1974 579 -839
604 580 679
2046 581 -569
2366 582 306
2698 583 425
2811 584 -7
2363 585 -921
2047 586 332
1949 587 -575
3003 588 95
4761 589 41
539 590 848
4491 591 -1
3678 592 793
4622 593 495
2720 594 115
3312 595 854
4557 596 282
3297 597 181
3518 598 -978
4945 599 -847
701 600 846
4961 601 839
3396 602 641
1123 603 538
2886 604 872
338 605 -37
1132 606 576
3237 607 -884
2978 608 -765
3868 609 916
1649 610 -282
3746 611 -462
1882 612 274
1492 613 787
3624 614 -451
4460 615 66
327 616 617
1561 617 426
2503 618 -525
2226 619 -135
2727 620 715
2513 621 520
3442 622 -844
1752 623 585
4072 624 849
2157 625 764
2822 626 -960
468 627 -590
562 628 975
1890 629 -175
619 630 340
3450 631 -760
3099 632 -241
284 633 376
2557 634 36
378 635 -104
1068 636 500
4193 637 -808
330 638 303
14 639 905
4214 640 -144
893 641 -274
4208 642 888
2167 643 -61
1871 644 -733
2029 645 452
4375 646 301
3082 647 569
2482 648 458
4765 649 773
1696 650 -729
3246 651 -580
2583 652 100
16 653 460
2609 654 -535
935 655 -560
3925 656 326
4544 657 -916
2010 658 -47
1016 659 -359
3122 660 -679
4530 661 490
2177 662 -576
3556 663 -514
578 664 400
1620 665 -912
11 666 -989
15 667 488
274 668 994
1070 669 -352
4847 670 -668
3079 671 -172
4416 672 990
735 673 189
586 674 139
2602 675 831
1113 676 901
2104 677 318
494 678 -329
1044 679 -3
3715 680 -698
4945 681 373
1141 682 -370
546 683 365
4175 684 -321
1223 685 -945
3387 686 906
707 687 844
2820 688 -247
3934 689 215
478 690 939
4770 691 -256
1722 692 -474
3749 693 70
2435 694 676
4445 695 184
2424 696 -110
189 697 749
1989 698 -780
3111 699 -935
2639 700 5
2199 701 146
3114 702 824
440 703 -919
3582 704 443
1715 705 532
4372 706 -736
605 707 32
358 708 -473
4259 709 -565
1396 710 -464
933 711 55
408 712 506
4709 713 10
4222 714 -772
2969 715 -101
132 716 864
807 717 -92
2212 718 -873
3551 719 -181
1380 720 -300
1912 721 -514
1940 722 -364
4174 723 -932
3087 724 160
1 725 -426
513 726 -532
2995 727 239
3931 728 -34
2548 729 -772
4295 730 -879
4830 731 -240
576 732 501
149 733 501
3830 734 -744
3805 735 -276
4340 736 -676
1746 737 843
4881 738 -491
4709 739 -746
629 740 -664
267 741 -690
501 742 636
1395 743 614
3678 744 857
1100 745 -683
3288 746 -915
2344 747 -405
1198 748 725
4099 749 -185
3679 750 -141
967 751 -250
1836 752 704
1348 753 447
2519 754 972
23 755 714
18 756 -591
1329 757 -354
1310 758 -990
3355 759 226
2179 760 -10
3271 761 275
714 762 -685
1635 763 275
3981 764 389
2035 765 -644
3622 766 -195
4105 767 -37
4679 768 -384
2307 769 -841
137 770 451
193 771 41
942 772 407
513 773 -908
3858 774 -682
4363 775 695
2091 776 -633
4830 777 55
214 778 399
3593 779 368
4654 780 -616
2566 781 296
2068 782 895
1636 783 -591
1215 784 145
3238 785 -389
2636 786 647
3803 787 910
2544 788 -108
6 789 768
4388 790 407
856 791 -508
4393 792 59
2996 793 2
2382 794 588
2407 795 697
4035 796 421
2379 797 940
1238 798 663
1858 799 -939
2066 800 -795
2750 801 451
450 802 742
1136 803 131
2888 804 -526
3630 805 119
2215 806 259
530 807 589
3861 808 -327
704 809 826
4830 810 -612
1723 811 924
1443 812 -525
4811 813 153
1303 814 -233
3746 815 407
599 816 63
2075 817 289
1862 818 -385
3234 819 802
1575 820 394
2213 821 965
1744 822 566
455 823 -725
51 824 -24
1748 825 -819
1956 826 576
293 827 -680
834 828 -621
2115 829 -265
1391 830 -488
4116 831 -607
3025 832 634
555 833 -516
4485 834 -934
1373 835 304
1916 836 445
3179 837 862
2050 838 -107
1157 839 108
4045 840 -994
1518 841 -822
4932 842 -596
2761 843 -397
482 844 -208
4493 845 76
3367 846 -590
2975 847 804
1023 848 628
3865 849 593
1146 850 582
1933 851 -84
4146 852 -227
3047 853 -771
3201 854 795
4345 855 163
2180 856 -394
4625 857 338
4033 858 164
374 859 -382
4326 860 -558
1848 861 -761
4998 862 -986
1635 863 435
4787 864 -599
4481 865 -585
311 866 337
2482 867 20
1798 868 106
4357 869 919
3454 870 -872
4118 871 990
1700 872 202
3681 873 97
375 874 284
172 875 218
3288 876 890
482 877 -274
3253 878 116
4543 879 331
2272 880 -970
3593 881 109
2795 882 -95
1713 883 -899
2191 884 -763
2791 885 333
327 886 -737
1935 887 223
2930 888 -769
3287 889 805
686 890 742
258 891 842
4729 892 -287
1647 893 -285
246 894 -301
3820 895 -395
4289 896 620
3471 897 239
1904 898 349
2363 899 448
501 900 -113
3460 901 510
3717 902 77
682 903 619
360 904 -48
2784 905 407
1426 906 513
1027 907 -609
2179 908 -900
1647 909 609
2889 910 -759
453 911 840
1903 912 -341
4635 913 -416
2912 914 -621
4353 915 781
3355 916 -383
1062 917 -863
3868 918 -354
2406 919 819
4996 920 715
3439 921 -981
1835 922 -510
3068 923 347
1506 924 -879
964 925 670
1498 926 351
2691 927 -15
622 928 -66
3218 929 -899
1768 930 -725
2922 931 885
3807 932 -125
2829 933 947
2674 934 980
2906 935 -636
4774 936 480
2280 937 506
1851 938 379
4809 939 -102
1667 940 -440
3851 941 230
3799 942 -437
211 943 -243
4063 944 -201
3105 945 489
2062 946 -104
1846 947 623
3767 948 -658
1680 949 -223
4175 950 896
3572 951 730
3136 952 588
3022 953 464
3797 954 872
1717 955 741
2187 956 431
4281 957 -906
226 958 113
2098 959 -206
110 960 -673
76 961 302
4664 962 904
573 963 136
3088 964 980
1714 965 40
1062 966 -560
1646 967 612
2257 968 96
3948 969 149
2156 970 -431
1636 971 74
597 972 -851
2659 973 -713
817 974 101
4330 975 291
2299 976 -917
694 977 31
4728 978 -65
2837 979 882
4910 980 444
3768 981 -515
2275 982 874
1620 983 471
343 984 -626
984 985 506
4398 986 -677
4803 987 558
930 988 330
1714 989 -246
1788 990 -9
2199 991 883
3047 992 9
4440 993 -288
3540 994 602
2492 995 807
621 996 -370
2264 997 -680
1900 998 628
3740 999 -128
3792 1000 62
1689 1001 951
4176 1002 -409
2911 1003 565
3476 1004 -80
1294 1005 -199
178 1006 186
839 1007 -92
3840 1008 -711
818 1009 -576
4728 1010 430
153 1011 -335
2349 1012 234
3964 1013 386
497 1014 -575
4373 1015 -664
3532 1016 987
3583 1017 -575
761 1018 -604
3418 1019 -114
4646 1020 -60
49 1021 574
1536 1022 90
4208 1023 -798
1867 1024 -520
3581 1025 -982
2895 1026 544
1875 1027 944
3430 1028 979
3508 1029 923
1283 1030 -114
991 1031 102
649 1032 870
2070 1033 777
3449 1034 -955
1452 1035 -104
91 1036 -735
235 1037 701
3327 1038 969
55 1039 835
4508 1040 -595
779 1041 -229
662 1042 -409
1255 1043 0
309 1044 128
284 1045 272
985 1046 -75
3158 1047 414
513 1048 658
1996 1049 209
1600 1050 -599
1586 1051 -186
4063 1052 799
989 1053 473
3768 1054 -868
2979 1055 993
4575 1056 -303
4115 1057 187
2052 1058 -32
4085 1059 -272
2164 1060 -266
4421 1061 -388
360 1062 -575
830 1063 95
3009 1064 265
763 1065 -830
1048 1066 728
359 1067 516
1614 1068 -988
2839 1069 392
4479 1070 -924
695 1071 450
3326 1072 124
1024 1073 -54
1033 1074 -740
1926 1075 -94
3990 1076 -429
4852 1077 -854
2499 1078 -352
4493 1079 281
3766 1080 505
1868 1081 900
195 1082 -765
877 1083 564
850 1084 962
3066 1085 -573
216 1086 62
381 1087 -844
2216 1088 -849
634 1089 -290
824 1090 450
1713 1091 560
1133 1092 -720
3996 1093 -586
4685 1094 -872
718 1095 -839
1260 1096 -922
2932 1097 871
366 1098 899
