10000 20000
9119 1 3633
1267 2 -4835
4181 3 -6094
2374 4 -1099
4028 5 -1498
1917 6 -653
7051 7 -6789
8889 8 -1399
7663 9 1886
9840 10 4478
9643 11 -2235
115 12 -2688
6867 13 -8365
9398 14 -3587
46 15 -3905
7227 16 -961
8173 17 -3298
7652 18 -7757
5997 19 -5609
3333 20 -5602
1434 21 -249
381 22 -6302
3796 23 -4705
5707 24 -2542
3126 25 -6324
9249 26 -7278
4308 27 -4081
9004 28 578
9789 29 -2711
2364 30 -8956
1505 31 881
7689 32 1209
6544 33 -2169
2131 34 148
3162 35 -8803
5917 36 -5016
3713 37 -6522
7311 38 -2114
7159 39 2804
39 40 -177
761 41 -5779
5165 42 -1190
6241 43 -6531
8650 44 1959
1678 45 -4284
372 46 4881
3745 47 -5919
8906 48 -7893
350 49 -7418
2423 50 1377
4729 51 3207
9127 52 -8941
799 53 -39
337 54 2182
1542 55 -6014
5532 56 -7250
7114 57 -1413
7285 58 -4153
1965 59 -6417
3342 60 -2384
3352 61 -5860
7784 62 -7169
4255 63 493
8556 64 516
4640 65 1935
4184 66 -7541
9915 67 -7772
8674 68 -4196
5740 69 -2801
4591 70 312
262 71 -7077
4749 72 -1550
5836 73 -3744
9046 74 -3211
3543 75 -5520
6815 76 2540
792 77 -9149
6409 78 -8529
6173 79 -5567
7255 80 829
9696 81 -8142
1547 82 -2028
2154 83 4972
725 84 -8175
4614 85 -4824
4124 86 1732
8588 87 -9162
3877 88 -3684
4565 89 -5719
339 90 -8645
9573 91 -8532
775 92 -2466
4070 93 -2668
6985 94 -2256
4269 95 -2312
4344 96 -5664
3965 97 493
367 98 3964
5073 99 -922
1089 100 -6546
7096 101 1116
9224 102 4631
6150 103 -3935
2162 104 1507
6286 105 -8703
5005 106 -7623
324 107 -9511
5635 108 3130
3557 109 1405
9457 110 -7890
9162 111 -1734
3695 112 -6481
7557 113 -2319
7540 114 -1643
9986 115 -4755
6136 116 -7482
450 117 -213
1201 118 -4987
2278 119 2542
8370 120 -7977
578 121 1568
7191 122 1116
2348 123 -5208
7985 124 -384
9073 125 -110
7908 126 -1887
859 127 -2324
9390 128 -4381
7833 129 -5557
2999 130 4018
4265 131 4487
4522 132 1575
4781 133 -1056
8956 134 -8964
3270 135 1403
4060 136 -706
1936 137 -8033
6043 138 -1678
2725 139 -1689
6215 140 1023
9471 141 1970
1986 142 2485
3532 143 -6159
4905 144 -7597
3406 145 3263
5411 146 2671
5550 147 3116
7011 148 -1231
7841 149 -2467
6462 150 -5060
8559 151 -4221
5087 152 425
8202 153 -2687
6065 154 -7986
7209 155 -9892
260 156 -7890
7499 157 921
775 158 -2267
6508 159 -7172
1887 160 812
9486 161 -2693
305 162 -7905
173 163 -2182
9337 164 1461
4540 165 -3027
8342 166 -5478
1083 167 -2332
2309 168 -3996
8510 169 -5510
6554 170 4436
9097 171 -4457
8438 172 -6159
6554 173 3381
4836 174 -6051
5858 175 2815
7754 176 -5013
1976 177 3035
1562 178 -5291
6835 179 2641
5963 180 -6517
2934 181 269
9261 182 -8247
46 183 -7495
7931 184 443
8129 185 -1169
3634 186 3752
7040 187 502
3418 188 -4871
4706 189 -691
3946 190 -52
273 191 -6350
5847 192 4634
5132 193 -3516
5554 194 -5181
3765 195 4258
7737 196 1885
5791 197 -6764
513 198 -9169
9162 199 -1467
7199 200 -6588
3057 201 -8308
7293 202 -8051
4034 203 4007
2366 204 -8346
136 205 -2661
1100 206 -6996
758 207 -2684
5123 208 -6452
1864 209 3235
4571 210 -1991
4733 211 2444
7685 212 3185
9658 213 478
6055 214 4130
3175 215 4955
4428 216 -6676
2257 217 -6794
9443 218 -3905
9092 219 3086
1423 220 -615
5009 221 -8584
3870 222 -5161
3881 223 3081
6357 224 -9108
5574 225 -6530
6816 226 3655
1194 227 919
3898 228 -1125
2585 229 -5592
6462 230 -7668
5495 231 -3214
5349 232 2982
4011 233 2499
5539 234 -3212
2675 235 4692
6374 236 479
8465 237 -9053
1942 238 -4776
9710 239 -711
4068 240 -8030
1304 241 -6210
529 242 -4281
6598 243 -900
5759 244 -4687
399 245 2710
9841 246 -7013
9071 247 2084
2305 248 -6708
6141 249 -5588
5320 250 -8265
5469 251 2065
3256 252 -440
6681 253 -4570
8042 254 -9650
1516 255 -1023
6281 256 2416
483 257 -1532
3106 258 -4382
8674 259 -8870
2105 260 -3950
1918 261 -8285
5398 262 2339
3980 263 -7246
2403 264 -8910
9552 265 2033
1748 266 -8587
5622 267 2315
1375 268 1843
9213 269 3242
9857 270 3091
3932 271 3526
4855 272 -7424
8438 273 -2893
8781 274 -5828
276 275 -319
3106 276 -866
7123 277 -7114
2181 278 -3169
1846 279 -8184
7663 280 3587
5260 281 -5287
3212 282 -9114
1596 283 2108
4669 284 -3787
8261 285 -7304
5276 286 3740
2094 287 2415
5147 288 -5160
7462 289 941
473 290 3941
5487 291 1394
512 292 -9413
5252 293 -9154
906 294 -3172
2102 295 -2233
6974 296 -1968
2384 297 71
1823 298 -6259
8418 299 -7771
2656 300 1792
7046 301 -7653
921 302 -8484
9473 303 1398
6376 304 4390
9174 305 800
543 306 1736
9725 307 -3657
5761 308 3227
7215 309 -389
1061 310 1757
6659 311 -1055
2472 312 -6285
4694 313 -8943
8978 314 -6097
5330 315 -1578
1562 316 -9128
6867 317 3317
8100 318 2422
6690 319 -6696
9678 320 226
6124 321 3269
3079 322 -7823
6601 323 -5352
6174 324 -4329
9829 325 -6538
8642 326 -5190
9423 327 -6662
237 328 -1223
909 329 -1412
8657 330 -7579
1057 331 4257
127 332 3075
8129 333 -6983
6508 334 -7299
3161 335 2016
4744 336 -7394
8571 337 -6771
7824 338 3243
8871 339 -7764
3659 340 -1045
1060 341 -9354
7171 342 3754
8543 343 -4521
9716 344 3826
7161 345 -8525
6876 346 -9963
859 347 2051
6582 348 -4063
6613 349 -6077
5298 350 -2790
6977 351 -5005
4735 352 -6220
6667 353 799
3154 354 -2171
6482 355 -1270
244 356 -1212
2051 357 310
5453 358 3962
2951 359 -9892
1531 360 -8197
7818 361 -3246
947 362 4456
4781 363 -3162
3190 364 4890
1359 365 -5341
3207 366 -9923
9926 367 -4734
5657 368 -3613
9716 369 -836
2971 370 1421
324 371 -7142
3639 372 -3229
2688 373 -4267
3821 374 -4059
6692 375 2720
7755 376 -2345
2375 377 -3175
2327 378 -6257
8131 379 -6627
7420 380 4930
2019 381 -8368
907 382 11
4436 383 -3834
7017 384 1170
8534 385 -6099
4890 386 -7383
8041 387 -239
1410 388 -3559
3661 389 -3458
8255 390 2484
4972 391 -2090
3887 392 -450
8806 393 -9767
7657 394 3017
9292 395 -5558
7847 396 2989
1243 397 1571
1120 398 -7965
9237 399 -1440
6579 400 -9988
719 401 -7767
3146 402 -1473
1604 403 2036
305 404 1523
1839 405 -1132
6454 406 -3821
1326 407 3502
2099 408 886
5408 409 -2502
9415 410 871
974 411 236
4028 412 -8286
881 413 1787
5775 414 -4663
8861 415 1315
1182 416 -7952
188 417 250
3735 418 -2691
9926 419 -1562
1374 420 -4107
254 421 -6966
7113 422 2285
5673 423 -6932
211 424 -2501
1389 425 -7839
525 426 3289
7329 427 -5366
9722 428 -1307
3804 429 206
6363 430 -7152
1526 431 -1536
3028 432 2809
3786 433 2107
68 434 3998
4631 435 -4368
2309 436 3390
5394 437 2995
6024 438 3447
8104 439 1727
8849 440 -416
3709 441 -208
1077 442 -9799
3418 443 -2648
4140 444 3380
5262 445 -3540
1172 446 -2142
6150 447 -3587
2421 448 2131
4053 449 368
6632 450 -4325
6257 451 4223
639 452 -8103
4461 453 -4057
7299 454 -8495
1458 455 -2300
68 456 -8752
4442 457 -5424
6781 458 -8233
2980 459 183
4928 460 715
4158 461 -4933
5590 462 -8541
5138 463 -2168
4272 464 213
4240 465 -7637
8011 466 -7658
3799 467 -3326
4000 468 -8835
2305 469 -1464
1353 470 2477
2946 471 645
170 472 -3366
2482 473 4453
7980 474 -2634
1170 475 -1062
5932 476 -2929
9437 477 1130
6207 478 220
5398 479 4037
2988 480 -8069
7395 481 -9624
3515 482 -7531
7743 483 -7357
4735 484 -7295
7833 485 -1081
8266 486 3809
8697 487 1400
9012 488 -4818
2645 489 -9356
5430 490 -1522
1081 491 -3984
3034 492 -3500
5088 493 -2024
2879 494 1181
1920 495 -6853
7481 496 1964
4333 497 -4553
726 498 -6171
4050 499 -102
